Partner Name,Partner ID,Description,Website,Certifications Count,Country,City
N/A,001E000001VAHqDIAX,"深圳市博思云为科技有限公司（Shenzhen Bosicloud Tech Co.,Ltd / HONG KONG BO SI YUN WEI SCIENCE AND TECHNOLOGY CO.,LIMITED）是一家专注于云的托管服务提供商，同时也是亚马逊云科技核心级咨询合作伙伴和全球渠道合作伙伴。博思云为拥有多项认证的资深技术核心团队，且具备丰富的产品开发经验。以专业的咨询服务和健全的运维服务体系，致力于为企业客户打造/提供领先、适应中国市场需求且基于亚马逊云科技的产品及服务，并帮助客户无缝构建和使用基于亚马逊云科技的解决方案，加速客户向云端迁移，以云技术助推企业数字化转型。",http://www.bosicloud.com,43,China,N/A
N/A,001E000000qGrMkIAK,"GS Neotek is the No.1 CDN provider in Korea and AWS Premier Consulting Partner. 
 Established in 1974, we have gained extensive experience and expertise in providing IT services and solutions and maintain core competencies across a broad spectrum of applications and technologies. 
 GS Neotek is providing AWS to many of the leading companies including Smile Gate, GS Shop, In",http://www.wisen.co.kr,94,Korea,N/A
N/A,001E0000011aGMDIA2,"As AWS Premier Consulting Partner , Silver Lining keeps providing smart solutions and high quality cloud services to the enterprise customers in China. Silver Lining focuses on providing professional services on cloud including cloud architecture design, deployment and implementation, security and compliance service, billing management, cost optimization service and 7x24 operation service.",https://www.sh-silverlining.com/,42,China,N/A
N/A,001E000001VBqtaIAD,"Commit, AWS Premier Partner, provides end-to-end solutions and cloud services. our unique advantage provide a totally integrated solution from a single development house. We lead cloud solutions so the customer can spend more time working on strategic initiatives to increase its bottom line. Cloud DevOps and Cyber Security Experts, Data &Analytics experts, ML and uniquness of SaaS and IoT services",http://www.comm-it.com,83,Israel,N/A
N/A,001E000001VBa75IAD,"Arηs Spikeseed is an entity of the Arηs Group. Like the other Arηs Group entities, it aims to deliver complex IT projects. Arηs Spikeseed has a specific interest and ability to implement IT systems using digital trust, search technologies, web semantics, web, mobile and connected platforms, using our agile practices, cutting-edge technologies and innovative products from our R&D.",https://www.spikeseed.cloud,146,Belgium,N/A
N/A,001E000001d9y3vIAA,"The total registered capital of L2C is 50 million yuan. It's a subsidiary company held by the Sinnet, providing AWS high-level consulting partners and cloud service products&services to customers based on AWS technology fitting well to the Chinese market. Nowadays Light2cloud serves lots of big customers and industries, including the world Top 500 companies, e.g. BMW,Daimler,GREE,Siemens,etc.",http://www.light2cloud.com,34,China,N/A
N/A,001E000000Rl0yaIAB,"CACI is a Fortune 1000 company with 22,000 employees who provide unique expertise and distinctive technology addressing our customers’ greatest enterprise and mission challenges. Our culture of good character, innovation, and excellence drives our success and earns us recognition as a Fortune World's Most Admired Company. Visit us at www.caci.com.",http://www.caci.com,325,United States,N/A
N/A,001E000000VrVNJIA3,"SAIC® is a premier Fortune 500® technology integrator driving our nation’s digital transformation. Our portfolio of offerings across the defense, space, civilian, and intelligence markets includes secure high-end solutions in engineering, IT modernization, and mission solutions. Headquartered in Reston, Virginia, SAIC has approximately 25,000 employees and annual revenues of about $7.4 billion.",http://www.saic.com,264,United States,N/A
N/A,001E000001QMxTrIAL,"Bespin Global MEA (Middle East & Africa) your trusted technology partner helping you adopt cloud technologies. We offer our customers end to end solutions covering commercial, consulting, professional services and managed service (MSP). Armed with our multi-cloud management platform ‘OpsNow’ insuring customers are in-control of aspects related to costs, assets and governance.",https://www.bespinglobal.ae/,155,United Arab Emirates,N/A
N/A,001E000000UfZC5IAN,"Founded in 1989, SHI has transformed itself from a $1 million ""software-only"" regional reseller into a $11 billion global provider of IT products and services. From simplifying software and hardware procurement, deployment planning, data center optimization, IT asset management and cloud services, SHI offers custom solutions for every aspect of your environment.",http://www.shi.com,259,United States,N/A
N/A,0010L00001nEtlvQAC,"TeraSky creates masterful solutions for customers during their digital transformation journey. We assist our customers to migrate to the cloud, manage to scale data center infrastructure, build software creation platforms, properly protect customers’ valuable data, and secure large-scale operations. Whether you are a traditional business in need of digital transformation, or a born-to-the-cloud st",http://www.terasky.com,48,Lithuania,N/A
N/A,001E000000ejcNdIAI,"At Datacom, we know that cleverly applied information technology makes a demonstrable difference to our clients’ businesses. Private and public sector clients across New Zealand and Australia and from the USA to Europe choose to partner with us because our service breadth and depth is world-class, our infrastructure rock-solid, and our local knowledge truly insightful.",https://datacom.com/au/en/about-us/partners/aws,245,New Zealand,N/A
N/A,001E000001dA5DaIAK,"Synonymous with digital innovation and a leading Italian group in the Information & Communications Technology sector, it accompanies the country’s growth processes by rising to the challenge that enterprises must face in order to remain competitive in the digital age, innovating their business model, organization, corporate culture, and ICT. With a foundation of strong Made in Italy skills.",http://www.almaviva.it,168,Italy,N/A
N/A,0010L00001u6JDsQAM,"With a product portfolio designed to accompany organisations of all sizes in their cloud journey and competence that is a synonym for highly qualified staff that clients and partners like to work with, PCG is positioned as a reliable and trustworthy partner for the AWS, relevant, and with repeatedly validated competence and credibility.",https://www.pcg.io,270,Germany,N/A
N/A,0018a00001mRhfqAAC,"We are a technology, digital, and consulting firm that blends IT innovation with seamless adoption, all while maximizing the value of an organization’s existing assets. We bridge the gap between visionary ideas and business realities, crafting solutions for both our own ventures and clients across various industries.",https://cloud.qucoon.com/,81,Canada,N/A
N/A,001E000000UfaSAIAZ,"CloudThat is a unique source of both Consulting & Training services. We have 5 competencies and 12 SDPs. Leveraging 12 years in the market, we recently established our Center of Generative AI to enable companies of all sizes to embrace GenAI. We have over 300+ in-house consultants with specialization in Cloud, GenAI, and other niche technologies working on 500+ projects in 30+ countries.",https://www.cloudthat.com,338,United States,N/A
N/A,001E000000Rl0xQIAR,"NetApp delivers enterprise-grade storage for hundreds of use cases to run file shares and block-level storage serving NAS and SAN protocols (NFS, SMB, iSCSI). Use cases include disaster recovery, Microsoft workloads, DevOps, databases, or any other enterprise workload. NetApp helps automate infrastructure for cost optimization, performance, reliability, and availability.",https://www.netapp.com/aws/,232,United States,N/A
N/A,001E000000mFll6IAC,"We understand that technology's acceleration is constantly creating new market competition. To keep you on top, our IT solutions deliver 100% impact in areas fundamental to your business. This is how we help you achieve each mission-critical transformation.",http://www.schubergphilis.com,150,Netherlands,N/A
N/A,001E000001Espt0IAB,"stackArmor specializes in cloud migration, managed services, cybersecurity and compliance focused solutions for healthcare, public sector and financial services customers. Our cybersecurity and compliance based services meet NIST, FedRAMP, HIPAA, SOC-2, GDPR and complex enterprise security standards. Our clients include Federal & State Agencies, Department of Defense, and mid-market organizations.",http://www.stackarmor.com,56,United States,N/A
N/A,0010L00001qG7TQQA0,"Chunghwa Telecom is the largest telecommunications company in Taiwan and the incumbent mobile, PSTN and broadband carrier there.",https://www.cht.com.tw/,197,Taiwan,N/A
N/A,001E0000012aPD1IAM,"ECCOM Network System Co., Ltd., the trusted IT partner of digital transformation, We strive to deliver unprecedented value to our customers in network, cloud, security and digital transformational services.",http://www.eccom.com.cn/,95,China,N/A
N/A,0010L00001jTY00QAG,"We focus solely on AWS & because of this dedication, we’ve built deep, unparalleled expertise across a variety of AWS products and services. The only thing that rivals our know-how is our passion for helping businesses transform through the power of the cloud. Seeing our customers achieve success with AWS is what drives us—we’re all about taking you from cloud-ready to cloud-first to cloud-best.",http://www.rebura.com,93,United Kingdom,N/A
N/A,0010L00001kWMoOQAW,"For over 12 years we've delivered high-end solutions perfectly adapted to the needs of our customers. Our success is the result of a strict talent selection process, a continual drive for innovation using the latest technologies, and the flexibility of our project management methodologies.",http://www.morrisopazo.com,183,Chile,N/A
N/A,0010L00001rFYIPQA4,"Hitachi Digital Services delivers service-level-driven outcomes for demanding applications on AWS Cloud from edge to data center to cloud with our comprehensive, enterprise-grade, AWS Cloud validated capabilities.",https://www.hitachids.com,61,United States,N/A
N/A,0010L00001sBpt3QAC,"Genese helps Enterprises envision their journey in the Cloud. We provide our customers with ICT consulting and engineering services to design, construct and support cloud-based Infrastructure solutions that enable business growth and innovation. Our team is focused on leveraging the AWS managed services and defining an optimal solution for your business.",https://www.genesesolution.com/,83,Australia,N/A
N/A,0010h00001dnxbeAAA,"With 15+ AWS Service Validations and Competencies, +50 AWS professional certificates, they have successfully launched over 100 customer projects. With cirrusgo dedication on AWS you can adopt Cloud To Next Level and Migrate to AWS",www.cirrusgo.com,54,Jordan,N/A
N/A,0010h00001hfkg4AAA,"Skyloop Cloud is an AWS Advanced Tier Services Partner that helps companies to become fast, agile, and competitive. We advise and assess your maturity and create a cutting-edge strategy to help you succeed. We build everything from initial lighthouse projects to enterprise-grade platforms and products. We up-skill your people with the skills they need to be competitive in a cloud-native world.",https://www.skyloop.cloud,52,Turkey,N/A
N/A,0010h00001jEI5BAAW,"Kyndryl works at the core of businesses that move the world. With more than 90,000 skilled professionals serving customer in over 100 countries, we design, build, manage and modernize the mission-critical technology systems that the world depends on every day.",kyndryl.com,11270,United States,N/A
